User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
CNN,Why you should care about the crisis in Venezuela https://t.co/l114qou819 https://t.co/9KJWEKM0Ow,en,Thu Aug 03 10:06:33 CDT 2017,-1,3,null,893125945724477442,-1,-1,null,-1,2,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Iowa State Athletics,RT if you agree that we have the best fans in the country! Thanks #cyclONEnation #RaiseTheStandard https://t.co/aPFH0G3UfE,en,Thu Aug 03 10:04:20 CDT 2017,-1,3,null,893125386019713024,-1,-1,null,-1,4,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
Mashable,One shoe; endless possibilities https://t.co/CTuQ7WMt3E,en,Thu Aug 03 10:04:05 CDT 2017,-1,20,null,893125326569586688,-1,-1,null,-1,13,<a href="https://studio.twitter.com" rel="nofollow">Media Studio</a>,https://studio.twitter.com,Media Studio
The Economist,Since becoming president; Donald Trump has approvingly tweeted about Fox News or its hosts 87 times https://t.co/CNr9Is2jn4,en,Thu Aug 03 10:02:12 CDT 2017,-1,20,null,893124851199856640,-1,-1,null,-1,23,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,Authorities say man who has been running across the country for charity struck by a hit-and-run driver in Ohio. https://t.co/4saLEdCLMF,en,Thu Aug 03 10:01:05 CDT 2017,-1,17,null,893124571414581249,-1,-1,null,-1,24,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New York Times,How bad is the opioid crisis? It’s the deadliest drug crisis in American history. https://t.co/0bPBzc3T1d,en,Thu Aug 03 10:00:15 CDT 2017,-1,63,null,893124358981521408,-1,-1,null,-1,68,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Barnes & Noble,Join us for #BNLEGOBuild at your local B&N on Sat. 8/5! Kids can learn to build; code & program Vernie the Robot:… https://t.co/yina5Gyiw3,en,Thu Aug 03 10:00:07 CDT 2017,-1,1,null,893124327595544581,-1,-1,null,-1,1,<a href="https://www.sprinklr.com" rel="nofollow">Sprinklr</a>,https://www.sprinklr.com,Sprinklr
Mashable,Women share the painful reality of Ireland's abortion ban in powerful video (make sure to watch to the end)… https://t.co/Lyy9e4b4YL,en,Thu Aug 03 09:59:07 CDT 2017,-1,7,null,893124072762224641,-1,-1,null,-1,8,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Wall Street Journal,Pacific Northwest braces for more scorching heat https://t.co/22K3DqvG5y,en,Thu Aug 03 09:56:59 CDT 2017,-1,12,null,893123538860769281,-1,-1,null,-1,10,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
J.K. Rowling,RT @lumos: #EndSlaveryAUS begins; learn why donors are being mislead + contributing to #modernslavery through orphanage tourism https://t.c…,en,Thu Aug 03 09:56:57 CDT 2017,-1,0,null,893123529490800640,-1,-1,null,-1,33,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
