User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
CNN,How to research company culture -- before you take the job https://t.co/SMGoukZB4G,en,Fri Aug 04 10:28:25 CDT 2017,-1,1,null,893493836240089088,-1,-1,null,-1,1,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Publishers Weekly,Is Handwriting History? | Public Books @publicbooks  https://t.co/bZ3hfnMPHz,en,Fri Aug 04 10:27:51 CDT 2017,-1,1,null,893493693616881665,-1,-1,null,-1,0,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,http://www.hootsuite.com,Hootsuite
𝐒ᴀɴsᴀ 𝐒ᴛᴀʀᴋ,The Spoils of War is literally a Spoil 🙄,en,Fri Aug 04 10:27:51 CDT 2017,-1,3,null,893493693478522880,-1,-1,null,-1,0,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Winter is Coming,RT @psproductionsCA: @WiCnet @TheLadySansa @JonBastSnow @LordSnow New trailer for the video is out! https://t.co/FvjyYOe4QX,en,Fri Aug 04 10:25:20 CDT 2017,-1,0,null,893493059517861888,-1,-1,null,-1,3,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
The New York Times,Stephen Colbert's alternative version of the poem emblazoned on the Statue of Liberty https://t.co/ZhMer1wXJ6 https://t.co/c3VQsJhlyB,en,Fri Aug 04 10:25:08 CDT 2017,-1,272,null,893493007839711232,-1,-1,null,-1,144,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Daenerys Targaryen,I will just leave this here as a warning... #GameOfThrones #GoTS7 #DoNotSpoil https://t.co/ulncD0Vbrv,en,Fri Aug 04 10:24:23 CDT 2017,-1,16,null,893492822476820480,-1,-1,null,-1,6,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,http://twitter.com/download/android,Twitter for Android
Daenerys Targaryen,The Night is Dark and Full of Spoilers,en,Fri Aug 04 10:23:14 CDT 2017,-1,30,null,893492533443080192,-1,-1,null,-1,12,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,http://twitter.com/download/android,Twitter for Android
Mashable,Incredible 'Witcher 3' cosplayer is our new hero https://t.co/f7CsHND69D https://t.co/fEVT8NBF8H,en,Fri Aug 04 10:23:12 CDT 2017,-1,20,null,893492521636179968,-1,-1,null,-1,4,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,Trump declaring opioid 'emergency' could help New Hampshire; other states https://t.co/SORYy3RxMu,en,Fri Aug 04 10:22:45 CDT 2017,-1,32,null,893492409287528449,-1,-1,null,-1,15,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
amy lane,RT @HarmonyInkPress: This month's $1.99 Amazon Kindle Deals are also price matched on our website so you can get these great YA deals which…,en,Fri Aug 04 10:21:58 CDT 2017,-1,0,null,893492213694386177,-1,-1,null,-1,2,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
The Associated Press,RT @AP_Noticias: A journalist’s murder underscores growing threat in Mexico; @verzamex reports: https://t.co/6rHgIU1QEW https://t.co/C2T8KR…,en,Fri Aug 04 10:20:23 CDT 2017,-1,0,null,893491814023528448,-1,-1,null,-1,17,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,RT @AP_Interactive: Another positive jobs report. U.S. employers added 209;000 jobs and the unemployment rate has fallen to 4.3%. https://t…,en,Fri Aug 04 10:19:45 CDT 2017,-1,0,null,893491656548392960,-1,-1,null,-1,14,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,RT @APEntertainment: Ian Ziering had his doubts about #Sharknado; but says @SYFY franchise has 'secret sauce' he can't explain https://t.c…,en,Fri Aug 04 10:19:41 CDT 2017,-1,0,null,893491639154610176,-1,-1,null,-1,5,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,RT @APCentralRegion: Ex-skinhead; son of Sikh temple founder killed in Wisconsin attack 5 years ago united in mission to combat hatred. ht…,en,Fri Aug 04 10:19:24 CDT 2017,-1,0,null,893491569050996739,-1,-1,null,-1,12,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Economist,An important Basquiat exhibition is about to open in London https://t.co/EjGVi3IOsF From @1843mag https://t.co/8TGON25JiY,en,Fri Aug 04 10:18:19 CDT 2017,-1,49,null,893491295846400004,-1,-1,null,-1,37,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Sarah Silverman,RT @ajplus: The top students at this school are two sisters from Syria that moved there to escape the war. https://t.co/wZEuM4ICyp,en,Fri Aug 04 10:18:00 CDT 2017,-1,0,null,893491212870598656,-1,-1,null,-1,348,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Winter is Coming,The #GameOfThrones leaked episode drama just got even deeper https://t.co/yGHf0DRbPQ,en,Fri Aug 04 10:17:15 CDT 2017,-1,18,null,893491025859235844,-1,-1,null,-1,4,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
CNN,"Sharknado" jumped the you-know-what three movies ago; but here comes “Sharknado 5” https://t.co/UR9aNriuE0 https://t.co/b62dJygvAF,en,Fri Aug 04 10:17:04 CDT 2017,-1,91,null,893490977771573253,-1,-1,null,-1,27,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Wall Street Journal,Obituary: Prof. Marian Diamond found that a healthy brain required a good diet; exercise—and love https://t.co/vm0kTEUjzM,en,Fri Aug 04 10:15:12 CDT 2017,-1,65,null,893490512040148993,-1,-1,null,-1,34,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Publishers Weekly,“The Dark Tower” Is Heartbreaking For Fans Of The Books | @BuzzFeed  https://t.co/gENUnlpSop,en,Fri Aug 04 10:14:44 CDT 2017,-1,8,null,893490393802711040,-1,-1,null,-1,0,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,http://www.hootsuite.com,Hootsuite
