User,NN
Text,VB
Lang,NNP
CreatedAt,NN
CurrentUserRetweetId,NN
FavoriteCount,NNP
GeoLocation,NNP
Id,NN
InReplyToStatusId,NN
InReplyToUserId,NN
Place,NN
QuotedStatusId,NN
RetweetCount,NNP
Source,NNP
SourceUrl,NNP
SourceValue,NNP
CNN,NNP
Disney,NNP
World,NNP
has,VBZ
erected,VBN
statue,NN
honor,NN
2-year-old,JJ
boy,NN
killed,VBN
alligator,NN
playing,VBG
hotel,NN
https://t.co/zMvNgRrUgi,en,Tue,NNP
Aug,NNP
CDT,NNP
null,894992900098052097,-1,NN
null,-1,NNP
,43,NNP
<a href="http://www.socialflow.com" rel="nofollow">,NNP
SocialFlow,NNP
</a>,NNP
http://www.socialflow.com,SocialFlow,NNP
The,NNP
New,NNP
York,NNP
Times,NNP
millions,NNS
low-skilled,JJ
immigrants,NNS
swept,VBD
work,NN
force,NN
have,VBP
improved,VBN
lives,NNS
Americans,NNPS
CDT,NNP
null,894992885476728832,-1,NN
null,-1,NN
.@Matt,NNP
_,NNP
LeBlanc,NNP
tells,VBZ
@JimmyKimmelLive,JJ
50th,JJ
birthday,NN
way,NN
be,VB
worse,JJR
40th,JJ
https://t.co/HpoMCGEOs5,en,Tue,NN
Aug,NN
CDT,NNP
null,894992874122731520,-1,NN
null,-1,JJ
,0,NN
<a href="http://www.radian6.com" rel="nofollow">,NN
Radian6,NN
Social,NNP
Media,NNP
Management,NNP
</a>,NNP
http://www.radian6.com,Radian6,NNP
Social,NNP
Media,NNP
Management,NNP
Iowa,NNP
State,NNP
Athletics,NNP
@CycloneFB,NNP
Todd,NNP
Blythe,NNP
is,VBZ
correct!The,NN
standout,NN
@CycloneFB,NN
receiver,NN
wore,VBD
freshman,NN
switching,VBG
https://t.co/ZxbMxENbxw,en,Tue,NNP
Aug,NNP
CDT,NNP
2017,-1,NNP
,1,NNP
null,894992645713530880,894981548688252928,113379481,null,-1,NNP
,0,NNP
<a href="http://twitter.com" rel="nofollow">,NNP
Twitter,NNP
Web,NN
http://twitter.com,Twitter,NN
Web,NN
Client,NNP
Mashable,NNP
Facebook,NNP
killed,VBD
high,JJ
school-only,JJ
Snapchat,NN
clone,NN
nobody,NN
noticed,VBD
