User,NN
Text,VB
Lang,NNP
CreatedAt,NN
CurrentUserRetweetId,NN
FavoriteCount,NNP
GeoLocation,NNP
Id,NN
InReplyToStatusId,NN
InReplyToUserId,NN
Place,NN
QuotedStatusId,NN
RetweetCount,NNP
Source,NNP
SourceUrl,NNP
SourceValue,NNP
CNN,NNP
GOP,NNP
Sen.,NNP
John,NNP
McCain,NNP
slams,VBZ
Trump,NNP
reports,NNS
's,VBZ
weighing,VBG
firing,NN
top,JJ
US,NNP
military,JJ
commander,NN
Afghanista,NNP
https://t.co/LSnsxx7PSg,en,Thu,NNP
Aug,NNP
CDT,NNP
null,893221224104558592,-1,NN
null,-1,JJ
,13,NN
http://www.socialflow.com,SocialFlow,NN
amy,NN
lane,NN
amazing,JJ
Ava,NNP
Drake,NNP
talks,NNS
romantic,JJ
suspense,NN
https://t.co/dd1LthCrc7,en,Thu,NNP
Aug,NNP
CDT,NNP
null,893220558984273920,-1,NN
null,-1,NNP
,0,NNP
<a href="http://twitter.com" rel="nofollow">,NNP
Twitter,NNP
Web,NN
http://twitter.com,Twitter,NN
Web,NN
Client,NNP
Daenerys,NNP
Targaryen,NNP
RT,NN
@King_Stannis,NN
sister,NN
forces,VBZ
spend,VB
time,NN
new,JJ
boyfriend,NN
@PilouAsbaek,NNP
@nikolajcw,NNP
https://t.co/7oRULUHFZe,en,Thu,NNP
Aug,NNP
CDT,NNP
null,893220012961406976,-1,NN
null,-1,NN
<a href="http://twitter.com/download/android" rel="nofollow">,NNP
Twitter,NNP
Android,NNP
</a>,NNP
http://twitter.com/download/android,Twitter,NNP
Android,NNP
Wall,NNP
Street,NNP
Journal,NNP
WSJ,NNP
@JoannaStern,NN
explains,VBZ
HD,NN
voice,NN
Wi-Fi,NN
calling,NN
more,JJR
series,NN
phone,NN
calls,VBZ
https://t.co/oTcftaeKRr,NN
https://t.co/iDBX2McLtJ,en,Thu,NN
Aug,NN
CDT,NNP
null,893219948755111938,-1,NN
null,-1,NNP
,4,NNP
<a href="http://www.socialflow.com" rel="nofollow">,NNP
SocialFlow,NNP
</a>,NNP
http://www.socialflow.com,SocialFlow,NNP
Anne,NNP
Rice,NNP
is,VBZ
Trump,NNP
afraid,JJ
say,VB
anything,NN
negative,JJ
Russia,NNP
