User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
CNN,GOP Sen. John McCain slams Trump amid reports that he's weighing firing the top US military commander in Afghanista… https://t.co/LSnsxx7PSg,en,Thu Aug 03 16:25:09 CDT 2017,-1,23,null,893221224104558592,-1,-1,null,-1,13,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
amy lane,The amazing Ava Drake talks about romantic suspense... https://t.co/dd1LthCrc7,en,Thu Aug 03 16:22:31 CDT 2017,-1,0,null,893220558984273920,-1,-1,null,-1,0,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Daenerys Targaryen,RT @King_Stannis: When your sister forces you to spend time with her new boyfriend... @PilouAsbaek @nikolajcw https://t.co/7oRULUHFZe,en,Thu Aug 03 16:20:20 CDT 2017,-1,0,null,893220012961406976,-1,-1,null,-1,39,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,http://twitter.com/download/android,Twitter for Android
Wall Street Journal,WSJ’s @JoannaStern explains HD voice; Wi-Fi calling and more in a series of phone calls https://t.co/oTcftaeKRr https://t.co/iDBX2McLtJ,en,Thu Aug 03 16:20:05 CDT 2017,-1,15,null,893219948755111938,-1,-1,null,-1,4,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Anne Rice,Why is Trump afraid to say anything negative about Russia? There's some deep mystery behind this. What's he hiding; running from?,en,Thu Aug 03 16:20:01 CDT 2017,-1,47,null,893219930853621760,-1,-1,null,-1,8,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Mashable,Leave watermelons alone https://t.co/6wJOcYz3r8 https://t.co/O2Y7C3vyT3,en,Thu Aug 03 16:18:08 CDT 2017,-1,35,null,893219458608705537,-1,-1,null,-1,13,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Mashable,Referee trolls a kids' basketball game and the results are hilarious https://t.co/sVpgvMe3Nb https://t.co/1HxDEivc1U,en,Thu Aug 03 16:18:08 CDT 2017,-1,7,null,893219457048379394,-1,-1,null,-1,1,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The White House,RT @VP: Once distant threats have become local & all free nations must band together to confront & overcome these threats. Watch #VPinEurop…,en,Thu Aug 03 16:16:01 CDT 2017,-1,0,null,893218925038772225,-1,-1,null,-1,373,<a href="https://www.whitehouse.gov/" rel="nofollow">WH Digital</a>,https://www.whitehouse.gov/,WH Digital
Publishers Weekly,Enter for a chance to win a copy of celebrity narrated ‘Cosmos’ by Carl Sagan. #sponsored https://t.co/tb5thRVXmo,en,Thu Aug 03 16:15:14 CDT 2017,-1,3,null,893218728787271681,-1,-1,null,-1,1,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,http://www.hootsuite.com,Hootsuite
Wall Street Journal,We’re testing a new type of notification during our #jobsfriday coverage. Join tomorrow to tell us what you think. https://t.co/W0D5zPkyWD,en,Thu Aug 03 16:15:09 CDT 2017,-1,12,null,893218704540020736,-1,-1,null,-1,7,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New York Times,More than a century later; researchers are still trying to determine what exactly happened to a doomed British ship https://t.co/IzppR2HPiJ,en,Thu Aug 03 16:15:08 CDT 2017,-1,59,null,893218701536899074,-1,-1,null,-1,21,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Anne Rice,RT @AdviceToWriters: A writer falls in love with an idea and gets carried away.DORIS LESSING#amwriting #writing #writinglife https://t.c…,en,Thu Aug 03 16:14:42 CDT 2017,-1,0,null,893218592547721217,-1,-1,null,-1,38,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Anne Rice,Does Trump have any sense of the instability & confusion he causes with his impulsive; scattered way of behaving &… https://t.co/as9vg89Nvv,en,Thu Aug 03 16:14:02 CDT 2017,-1,30,null,893218427124436992,-1,-1,null,893211088841396224,8,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Mashable,Internet TV could be about to get a lot cheaper—and scarier for cable companies https://t.co/CWX7WVp9OO,en,Thu Aug 03 16:13:04 CDT 2017,-1,23,null,893218182751805441,-1,-1,null,-1,13,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,RT @APWestRegion: Rapid resignations left an island town without any police; showing the struggles of life in remote parts of Alaska. https…,en,Thu Aug 03 16:13:02 CDT 2017,-1,0,null,893218173104918529,-1,-1,null,-1,7,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,A Domino's employee walked to deliver pizzas after his car broke down. Then; his customer started a GoFundMe page.… https://t.co/VqFrGgTt0u,en,Thu Aug 03 16:11:09 CDT 2017,-1,639,null,893217700104876032,-1,-1,null,-1,144,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Penguin Random House,Discover the 17th Century Precursor to the Kindle: https://t.co/RitTMyIb8N @openculture,en,Thu Aug 03 16:11:00 CDT 2017,-1,5,null,893217662452600833,-1,-1,null,-1,3,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
Anne Rice,Something's gravely wrong; Rob. The man's afraid. He's got to come clean on what he's afraid of. This gets darker b… https://t.co/nRiNPZubEa,en,Thu Aug 03 16:10:49 CDT 2017,-1,83,null,893217614616420352,-1,-1,null,893216078976884736,12,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Wall Street Journal,Alphabet accuses Anthony Levandowski of launching competing startups. Larry Page enlisted him for his side project. https://t.co/WsqPoixPY4,en,Thu Aug 03 16:09:05 CDT 2017,-1,31,null,893217180233367552,-1,-1,null,-1,21,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Economist,A swan rests its head in its plumage in front of the Schoenfeld Castle in Dresden; Germany on August 1st (DPA) https://t.co/7RJ3SQEYLS,en,Thu Aug 03 16:05:38 CDT 2017,-1,92,null,893216311429529600,-1,-1,null,-1,17,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
