User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
Penguin Random House,RT @randomhouse: Bestselling author @tanehisicoates is hitting the road this fall to discuss his new book; WE WERE EIGHT YEARS IN POWER: AN…,en,Wed Aug 09 09:54:40 CDT 2017,-1,0,null,895297280516947969,-1,-1,null,895293976110039040,2,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
The New York Times,Investigators searched Manafort's home for tax and banking records as part of the special investigation on Russia https://t.co/sSSt0qx5fv,en,Wed Aug 09 09:53:20 CDT 2017,-1,46,null,895296945190838272,895295814284840960,807095,null,-1,26,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
The Associated Press,Oprah's favorite soups? Oprah Winfrey is heading to the supermarket aisle with her own line of soups and sides. https://t.co/dwZJqg3mIA,en,Wed Aug 09 09:52:28 CDT 2017,-1,12,null,895296729272254464,-1,-1,null,-1,9,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,A conservative group has launched a $2.5 million ad buy on tax reform https://t.co/Wym92TxFeM https://t.co/oCfSSWS4zO,en,Wed Aug 09 09:50:07 CDT 2017,-1,33,null,895296135148994561,-1,-1,null,-1,15,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Wall Street Journal,The financial crisis still looms large in market psychology https://t.co/eXHBUhyElq,en,Wed Aug 09 09:50:06 CDT 2017,-1,15,null,895296134184394752,-1,-1,null,-1,8,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New York Times,Breaking News: Investigators searched a home of Paul Manafort; President Trump’s former campaign chief https://t.co/sSSt0qx5fv,en,Wed Aug 09 09:48:50 CDT 2017,-1,301,null,895295814284840960,-1,-1,null,-1,187,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,JUST IN: FBI agents searched the DC-area home of former Trump campaign manager Paul Manafort last month… https://t.co/jzLQox8f8i,en,Wed Aug 09 09:47:14 CDT 2017,-1,235,null,895295411870732290,-1,-1,null,-1,92,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,RT @APSouthRegion: .@TigerWoods will plead guilty to reckless driving after his DUI arrest. Agrees to enter a diversion program. https://t.…,en,Wed Aug 09 09:47:11 CDT 2017,-1,0,null,895295399036170240,-1,-1,null,-1,14,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New Yorker,Can anybody persuade Donald Trump to go back to work? Having him on vacation is too stressful. https://t.co/eAuNvhmnU9,en,Wed Aug 09 09:45:28 CDT 2017,-1,179,null,895294967261908992,-1,-1,null,-1,71,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Mashable,Think the weather this summer has been weirder than usual? You're not wrong. https://t.co/sbGe9HZAUT,en,Wed Aug 09 09:45:07 CDT 2017,-1,7,null,895294878279774208,-1,-1,null,-1,2,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New York Times,Is Daenerys Targaryen the savior of Westeros or a genocidal maniac? Help us rate "Game of Thrones" characters. https://t.co/hKPNbWtqkc,en,Wed Aug 09 09:45:07 CDT 2017,-1,81,null,895294877927452672,-1,-1,null,-1,38,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
