User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
The New York Times,Silicon Valley worries as Trump takes aim at high-skill visas. But Mexico; Canada and China are thrilled. https://t.co/PrHygC5sfo,en,Wed Aug 02 10:50:09 CDT 2017,-1,0,null,892774528681693184,-1,-1,null,-1,0,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Wall Street Journal,For Switzerland's central bank; it's more money; more problems—to the tune of $750 billion https://t.co/YXP5mHDtlM,en,Wed Aug 02 10:50:07 CDT 2017,-1,0,null,892774519458455553,-1,-1,null,-1,1,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Winter is Coming,RT @LordSnow: Drogon understands 😂 #GameOfThrones https://t.co/gTXfNQVPBM,en,Wed Aug 02 10:48:23 CDT 2017,-1,0,null,892774083330531331,-1,-1,null,-1,506,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
The White House,Our current immigration system is outdated and doesn't meet the diverse needs of our economy. The RAISE Act will ch… https://t.co/F2rguDY6eR,en,Wed Aug 02 10:48:18 CDT 2017,-1,158,null,892774062497431557,-1,-1,null,-1,63,<a href="https://www.whitehouse.gov/" rel="nofollow">WH Digital</a>,https://www.whitehouse.gov/,WH Digital
Mashable,Here's the trailer for the Angelina Jolie movie that's been causing all that controversyhttps://t.co/mOcPh4UE0z,en,Wed Aug 02 10:47:29 CDT 2017,-1,1,null,892773857404301315,-1,-1,null,-1,3,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Economist,In America; who you are is what you eat https://t.co/OdpzPixN8W,en,Wed Aug 02 10:47:29 CDT 2017,-1,9,null,892773857312083968,-1,-1,null,-1,7,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
𝐒ᴀɴsᴀ 𝐒ᴛᴀʀᴋ,RT @vicky_duke926: Twitter Is Dark And Full Of Spoilers! #GoTS7 #TheQueensJustice   🙄🙄  @GoT_Tyrion @TheDove_Stark @WightsKing @arya_lady h…,en,Wed Aug 02 10:47:20 CDT 2017,-1,0,null,892773819009687552,-1,-1,null,-1,3,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
𝐒ᴀɴsᴀ 𝐒ᴛᴀʀᴋ,RT @MonaLisa1797: When Bran reunites with Jon #GameOfThrones https://t.co/XFJclhvPAi,en,Wed Aug 02 10:47:11 CDT 2017,-1,0,null,892773785119727616,-1,-1,null,-1,14,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
New York Times Books,What links parents and planet; cancer and capitalism; cellphones and the war on terror? Jorie Graham's poetry. https://t.co/yiJGiyVmHm,en,Wed Aug 02 10:45:04 CDT 2017,-1,8,null,892773249700028416,-1,-1,null,-1,2,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,RT @APBusiness: Possibly a first for #Amazon.com ... lines. https://t.co/l4UbFJnyyc https://t.co/vUopQMNqPp,en,Wed Aug 02 10:44:45 CDT 2017,-1,0,null,892773169823703041,-1,-1,null,-1,2,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
