User,NN
Text,VB
Lang,NNP
CreatedAt,NN
CurrentUserRetweetId,NN
FavoriteCount,NNP
GeoLocation,NNP
Id,NN
InReplyToStatusId,NN
InReplyToUserId,NN
Place,NN
QuotedStatusId,NN
RetweetCount,NNP
Source,NNP
SourceUrl,NNP
SourceValue,NNP
Winter,NNP
is,VBZ
Coming,VBG
RT,NN
@GameOfThrones,NNS
Battling,VBG
Silence.The,NN
creators,NNS
cast,NN
#GameofThrones,NNS
discuss,VBP
silence,NN
ship,NN
battle,NN
scene,NN
Stormborn,NNP
#GoT,NN
Thu,NNP
Jul,NNP
CDT,NNP
null,890697952922087424,-1,NN
null,-1,NNP
,271,NNP
<a href="http://twitter.com" rel="nofollow">,NNP
Twitter,NNP
Web,NN
http://twitter.com,Twitter,NN
Web,NN
Client,NNP
The,NNP
Associated,NNP
Press,NNP
RT,NN
@APEastRegion,NN
Sweet,JJ
gig,NN
Meet,VB
@phish,JJ
fan,NN
's,VBZ
supplying,VBG
doughnuts,NNS
band,NN
13-night,JJ
Baker,NNP
Dozen,NNP
run,NN
NYC,NNP
Story,NNP
https,NNS
Thu,NNP
Jul,NNP
CDT,NNP
null,890696823358312448,-1,NN
null,-1,NNP
,3,NNP
<a href="http://www.socialflow.com" rel="nofollow">,NNP
SocialFlow,NNP
</a>,NNP
http://www.socialflow.com,SocialFlow,NNP
The,NNP
Associated,NNP
Press,NNP
June,NNP
Foray,NNP
voice,NN
Rocky,NNP
Flying,NNP
Squirrel,NN
Grandmother,NNP
Fa,NNP
Mulan,NNP
many,JJ
other,JJ
characters,NNS
dead,JJ
https://t.co/okcWsMHcx6,en,Thu,NNP
Jul,NNP
CDT,NNP
null,890694296961200128,-1,NN
null,-1,NNP
,130,NNP
<a href="http://www.socialflow.com" rel="nofollow">,NNP
SocialFlow,NNP
</a>,NNP
http://www.socialflow.com,SocialFlow,NNP
Aleksandr,NNP
Voinov,NNP
RT,NN
@LadyTiferet,NN
London,NNP
folks,NNS
friends,NNS
fur,NN
bby,NN
is,VBZ
MISSING,NNP
Brown,NNP
grey,JJ
lilac,JJ
cat,NN
Romford,NNP
Greater,NNP
London,NNP
England,NNP
RM3,NN
https://t…,en,Thu,NN
Jul,NNP
CDT,NNP
