User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
Wall Street Journal,The Falcons look to shake the Super Bowl hangover https://t.co/ebI2Pio3xA,en,Mon Aug 07 09:18:30 CDT 2017,-1,2,null,894563406673522688,-1,-1,null,-1,4,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Margaery Tyrell,The reunions just don't stop this episode. Theon isn't mocking Jon now is he? #GameOfThrones #GoTs7,en,Mon Aug 07 09:17:25 CDT 2017,-1,1,null,894563131715969024,-1,-1,null,-1,0,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Mashable,Literally 47 minutes of Putin fishing; swimming; and generally living his best life https://t.co/HA1bOUlsPL https://t.co/Aj90w0JEZg,en,Mon Aug 07 09:17:03 CDT 2017,-1,9,null,894563041102135298,-1,-1,null,-1,4,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Margaery Tyrell,Littlefinger told Sansa to never let herself be surprised. Arya just surprised the crap out Littlefinger. #GameOfThrones #GoTs7,en,Mon Aug 07 09:15:06 CDT 2017,-1,18,null,894562549072572417,-1,-1,null,-1,1,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
The Economist,Russia’s biggest rock star portrays his country as both ridiculous and vulnerable https://t.co/21dpNoADRJ From… https://t.co/HdMpk590vu,en,Mon Aug 07 09:14:01 CDT 2017,-1,11,null,894562275331366914,-1,-1,null,-1,6,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Penguin Random House,Watch: Author @helenkaydimon (DIRTY DEEDS) on writing romantic suspense and researching disasters. https://t.co/Rmbfo3UbGn,en,Mon Aug 07 09:14:00 CDT 2017,-1,3,null,894562273687207937,-1,-1,null,-1,0,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
Penguin Books UK,If you’re contemplating how to get away from a hectic life; these six books are here to help you escape...… https://t.co/HUygLGQbBM,en,Mon Aug 07 09:13:36 CDT 2017,-1,18,null,894562170201145344,-1,-1,null,-1,3,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
The New Yorker,“Game of Thrones” season 7; episode 4 recap: when they go low; we shoot fire from the sky. https://t.co/7CsnSuhziz,en,Mon Aug 07 09:10:30 CDT 2017,-1,52,null,894561393399279616,-1,-1,null,-1,24,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,"We want you to come to Chicago": Mayor Rahm Emanuel defends lawsuit against DOJ over sanctuary city status… https://t.co/BRXkks6wCu,en,Mon Aug 07 09:10:06 CDT 2017,-1,114,null,894561292576587776,-1,-1,null,-1,40,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Margaery Tyrell,Never forget; Arya is a badass who won't stop; can't stop; GET IT GET IT!!! #GameOfThrones #GoTs7,en,Mon Aug 07 09:10:06 CDT 2017,-1,18,null,894561291993481217,-1,-1,null,-1,1,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Mashable,Our hearts just grew three sizes https://t.co/P5kLO5jXBz,en,Mon Aug 07 09:10:03 CDT 2017,-1,57,null,894561280043831296,-1,-1,null,-1,32,<a href="https://studio.twitter.com" rel="nofollow">Media Studio</a>,https://studio.twitter.com,Media Studio
The New Yorker,When should a child be taken from his parents? https://t.co/S3eeK3usDS https://t.co/9GeVMlpvAa,en,Mon Aug 07 09:09:10 CDT 2017,-1,20,null,894561054017114112,-1,-1,null,-1,10,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New York Times,"He was hungry and homeless. Nobody cared about him." https://t.co/LsJLs7PXFo,en,Mon Aug 07 09:08:05 CDT 2017,-1,101,null,894560781106327553,-1,-1,null,-1,67,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Winter is Coming,RT @FanSided: The best and the worst moments from The Spoils of War #GameOfThrones https://t.co/L4NgE4id7Q,en,Mon Aug 07 09:06:12 CDT 2017,-1,0,null,894560308341157888,-1,-1,null,-1,4,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
Winter is Coming,RT @FanSided: Did you pick up the signals? We're getting closer to Jon and Dany hooking up; aren't we? .#GameOfThrones  https://t.co/wvNZar…,en,Mon Aug 07 09:06:00 CDT 2017,-1,0,null,894560260446408706,-1,-1,null,-1,6,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,https://about.twitter.com/products/tweetdeck,TweetDeck
Margaery Tyrell,ITS NOT ABOUT HIS PRIDE DANY!! #GameOfThrones #GoTs7,en,Mon Aug 07 09:04:16 CDT 2017,-1,16,null,894559821378330624,-1,-1,null,-1,0,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Winter is Coming,Nikolaj Coster-Waldau breaks down Jaime's desperate move on last night's episode of #GameofThrones.… https://t.co/hpWVCofKKc,en,Mon Aug 07 09:04:15 CDT 2017,-1,43,null,894559818924642305,-1,-1,null,-1,16,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Daenerys Targaryen,when someone says don't like #GameOfThrones https://t.co/WRziZcN1n3,en,Mon Aug 07 09:04:00 CDT 2017,-1,115,null,894559756752478208,-1,-1,null,-1,36,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,http://twitter.com/download/android,Twitter for Android
Guardian Books,Tips; links and suggestions: what are you reading this week? https://t.co/SQtJW4csOf,en,Mon Aug 07 09:03:08 CDT 2017,-1,4,null,894559537755152384,-1,-1,null,-1,5,<a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>,https://dlvrit.com/,dlvr.it
Publishers Weekly,Born behind bars; this literary genre has 'grown up' to resonate with young adults | @NewsHour https://t.co/VcbbzWLLj2,en,Mon Aug 07 09:01:40 CDT 2017,-1,4,null,894559166341271552,-1,-1,null,-1,5,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,http://www.hootsuite.com,Hootsuite
